label	text_a
cry	失望 唔好食 過份吹奏 呢間五嫂之前有傳媒報導，講到好誇張，又話咩日賣500份又剩，特登走黎試，點知就中伏。個腸粉又冇味，又少料，啲所謂秘制醬汁都係淡嘅，又有陣怪味🤧 可能係我要求高，但真係一啲都唔好食。 睇得出間舖頭係幾個大陸人開，絕對唔係歧視佢地，但我真係頂唔順佢間野嘅衛生，好似大陸鄉下啲街邊舖咁，真係好污糟，好似喺條街度整野食咁，隨時有人會扔垃圾入去啲食材度🤢 真心懷疑佢根本唔符合食環處啲準則....  好心啲fb page, content farm唔好成日吹奏埋啲難食野，誤導哂啲讀者! 
smile	大圍街坊車仔麵 去朋友屋企打機，打到肚餓落街食車仔面，街坊店果然係平價，三餸面加豆漿先$35，好吸引！ 叫咗溏心蛋、豬大腸、韮菜餃，豬骨湯底。份量唔算多，但勝在質素唔錯，湯底好重豬骨味，不過唔太配油面 瑞士雞翼$24/6隻，好抵食，而且好重瑞士汁味，即係偏甜，亦非常入味，好耐冇食過好味又抵食的瑞士雞翼了 兩溝魚肉翅，份量都唔細。材料有冬菇、瘦肉、雞絲、粉絲，木耳、蛋，味道偏淡。魚肉夠晒彈牙，正！ 兩個人食完都差不多飽，下次一定要試埋啲糖水！
ok	新派冰室，出品中規中矩 星期六既9點，apm既大部分鋪頭都係未開，難得揾到金記食個早餐。 整體來講，哩間新派餐廳，賣相討好，味道中規中矩，有一D特別既茶式（猪潤通），但又未至於十分驚喜。咁啱係戲院隔離，行過睇戲前，先食d野係非常好。 我點左個招牌猪潤餐（$42）  多士炒滑蛋 上得超快，多士都係鬆脆既，但就有少少少淋，感覺似係整好左，擺左幾分鐘果種。 蛋就好嫩滑，係值得欣賞既。 係幾有特色既，個渴有少少少藥膳味，咸咸地既。 至於猪潤有四大件，係粉粉既口感，并唔係嫩滑果d。上檯果陣，啱食落去稍稍有點腥，後尾再浸熟d就無咁覺。 奶茶係幾滑幾醇既，不過我點既係茶走，哩杯飲落就無落煉奶果種甜，似係普通奶茶加糖俾我。 所以都係中規中矩既出品，賣相品設計上有心思既。 
cry	比咁既價錢，我接受唔到囉😡 見佢開張左一排，同事話想試下，就6個同事一齊去試啦⋯⋯  滿心歡喜食好少少，叫左lunch menu set B 脆皮咸豬手（$62）。  食左一舊見到有少少豬毛係塊脆皮到，都隻眼開隻眼閉啦⋯⋯點知再食落去，竟然有一塊脆皮眼見係有咁多毛！！（如圖）🤮🤮🤮心諗：點食呀！脆皮豬手無得食塊皮😲 即刻同waitress 反映，點之佢係你眼望我眼，見我話真係好多毛喎⋯⋯佢先收左我果份話整過比我，再過一陣，走過黎唔知咩原因就話叫我另叫其他set....  叫左龍利柳個set （$64）, 無味既🤢說好的桂花忌廉汁呢？？  其他坐唔坐得舒服都唔講啦😅  總括黎講，食物同服務都要有待改進。 
smile	超飽晚餐 今日係黃大仙見到E間好多人排隊所以又跟住排隊，咁多人排應該唔錯的 6個人叫左都幾多野食，好飽，好滿足 雞絲粉皮：醬好多，佢係用花生醬，而唔係平時的胡麻醬，所以味道比較重 雞絲，粉皮，青瓜絲都切得好幼 擔擔麵我地揀左唔辣，唔辣都好食，花生味好香好重 份量都好大，夠6個人食 酸辣湯，好細碗，應該只係夠3-4個人飲，每人只可以飲一碗 唔食得辣的人會覺得好辣，要小心 小籠包，好夠熱，好多汁，皮有少少厚 上海粗炒，少鹹，好油，老人家唔好食太多 不過份量係大 上海年糕，非一般的份量，好大碟 年糕好軟身好薄，又唔會好鹹，老少咸宜 雷沙湯圓：好細粒，而且皮布少少濕，黏唔足D粉
ok	食物不錯 服務有待改善 諗住黎試下cafe landmark好耐 有次去完中環 終於同幾個朋友一齊食左 去到門口，因為有朋友有優惠 想問清楚可唔可以用先入位，門外接待已經唔係好友善 入到餐廳坐低侍應又有啲催落單 感覺唔係太好 畢竟置地係甲級商場，餐廳本身定位亦唔係好casual嗰種 我地期望服務態度係更好 餐廳提供餐包 餐包質素好好，外殻好脆亦唔會過乾 包芯好軟熟同好有麥香 雜菌意大利飯 唔係特別出色，意料之中嘅味道 唔需要喺呢間餐廳食都得，慳返啲錢試下其他食物會好啲 之前已經聽聞過cafe landmark嘅龍蝦意粉廣受好評 果然聞名不如見面 主角龍蝦熟得啱啱好，肉質結質味道鮮甜 意粉彈牙 白汁好香龍蝦同忌廉味，如果落少啲忌廉去突出龍蝦味會更好 宜家個汁有啲太膩 但整體都係好食 呢個西冷牛扒完全係意料之外地好 外面焦香，入面粉紅有肉汁 肉質腍得黎唔削，肉味好香 唔知係廚房火侯控制得好定用左慢煮機煮完再煎封 煮得好好 有機會會再食  或者試下surf and turf 整體黎講食物質素中上 檯與檯之間空間好多，雖然係開放式餐廳但客人同週圍環境都安靜，幾有私密感   店員服務態度則可以改善，如果唔鐘意做街客可以去做會所 打得開門口做生意就唔好對生客態度差 始終收得呢個價錢都唔係想黎睇啲侍應面色
cry	真係牛筋丸？ 又去到人生路不熟嘅柴灣食午餐，由於初嚟報到肯定食多幾間睇下有咩其他更好嘅選擇。於是就嚟到呢間學利，就午餐嚟講價錢中等，點都講唔上平、抵。 一合普通粉麵30+，普通午餐飯50左右。 咁就揀咗個普通河粉，由於見佢牛肉丸32，牛筋丸又係32，潮汕牛筋丸出晒名好彈牙喎。睇下有無咁著數？ 等咗一陣就送嚟啦，我就叫咗個普通牛筋丸河，拍檔就叫咗墨丸河+檸水。 評論下的自己嗰碗"牛筋丸河"，都幾大份下有6粒丸，但點知一入口......個所謂嘅"牛筋丸"竟然咁軟，完全無彈牙嘅口感，感覺比去凍肉舖嘅普通牛肉丸更軟身，輕易就咬爛。 個河粉算係正常，但成碗野無晒牛筋丸個靈魂。 墨丸河，睇起物都唔錯，我諗佢嘅墨丸應該比"牛筋丸"更爽口彈力。 仲有跟餐要加8蚊先有嘅檸水。 總括嚟講，性價比低，再次說明一分錢一分貨嘅道理，牛丸點可能同真正嘅牛筋丸一樣價。 建議去再搵另一間好野食。 
smile	生日的自助山 趁男朋友生日，book左自助餐嚟滿足佢呢個食肉獸嚟作為一個小驚喜，而我自己就好鐘意食海鮮，所以自助餐可以一次滿足晒大家嘅願望。  呢個人稱旋轉餐廳嘅好處係無論佢安排咩位置俾你都好，你都總有機會係可以望住個維多利亞海港食飯，因為佢係一個鐘轉一個圈嘅。  講返食物先，佢啲海鮮選擇都唔少，而且添得好快，基本試次次出去都唔會缺貨。 而其他熟食種類都唔少，點心有，燒味有，西式有，日式真係乜都有，甜品水果就更加唔少得啦！（我果晚掛住拍片，冇乜點影相😂）睇下男朋友個碟就真係名乎其實食緊座山。  整體食物種類多，最重要係fill得快，而且食環境都一流 
ok	蕃茄迷必到🤩 係九龍灣返工其實食飯選擇唔多，特別返展貿中心哩到，出返去都無左好多時間⏰。平時就經常光顧哩一間蕃滿門，因為選擇多而且份量都ok👌🏻。  今次就揀左佢個蕃茄芝士焗豬扒薑飯，再配個女士恩物黑糖薑母茶。佢既焗飯其實我覺得仲好食過佢蕃茄湯麵🍜。好濃既蕃茄醬汁味道同蕃茄肉🍅，豬扒尚算鬆軟但肥肉較多。個薑飯係精髓，有辛香既薑味，同蕃茄味出其咁夾，仲要加埋表層恰到好處既芝士🧀，真係唔錯。至於薑母茶就見到一舊黑糖方塊即沖係水，味道濃烈好滿足🤩。  不過要留意既係焗飯會比一般蕃茄系列粉麵等耐啲，要預早少少到如果想食焗飯既朋友。  
cry	差差差 從未食過如此難食的牛腩河！！！ 個湯底簡直冇味如水一般！ 同佢職員講，佢哋居然話試過味道，話冇問題，提議給我鼓油加味，問題根本不是唔夠味，而是冇味如水！個下午茶餐仲要是$38加一！超不知所謂！ 
smile	美味越菜  朋友話想食越南菜  佢要來九龍灣做野  約左我來呢間餐廳食飯 呢度環境好舒服 有好多卡位 呢個set包埋野飲  可叫d特飲  唔錯 香茅雞鎚撈檬 $59  炸雞鎚炸得金香  食落肉質唔錯 順化牛脊湯檬 $75  朋友鐘意食牛肉  叫左呢個 湯底唔會太辣  飲落好香  酸酸辣辣非常醒胃  牛丸好彈牙  牛肉唔會煮得太熟  剛剛好食得  口感唔錯 水晶軟殻蟹米紙卷 2條 $72  炸過gei軟殼蟹非常鬆脆 越南啤酒 $38 朋友鐘意飲酒  呢個幾易入口 加$5 龍眼海底椰蜜   我最鐘意飲d潤喉gei野  呢杯好正  唔太甜 好潤 多料又美味 整體我地幾滿意 呢度有好多嘢食  不過我地得兩個人所以叫得唔多  有機會多d人來食可試多啲唔同嘅嘢 
ok	醒神早餐 去宿營前一早同肥髀食個早餐！因為要經彩虹轉車！麥當勞都係一個好快速嘅選擇！肥髀要普通麥當勞早餐！ 我就叫Mc Cafe! 只有一個大櫃檯，櫃檯旁有幾張圓櫈，可以向住櫃檯內店員飲咖啡！我們坐櫃檯對出小圓枱！梳化椅比較舒服！ 落單之後店員好爽咁翻熱麵包及沖飲料！好快可以攞食品！ Peach Tea Fraffe（$20）同參考圖片相差好遠！沙冰塌晒，一啲都唔靚，好在桃味正常唔假！茶味微甜！茶味唔澀正常！hello Kitty膠杯好靚！ 火腿芝士牛角包（飲品+$13）牛角包烘得太燶太乾，無咗外脆內煙韌嘅口感！芝士濃味！火腿鹹香正常！如果唔燶就好好味！ 店員非常cool，唔出聲回應！聽完唔覆單即做！無眼神接觸！ 食品ok!服務可以親切少許！
cry	叫雞奶野＞﹏﹏＜ 今次難得無睇食評就入左間餐廳食~ 結果....梗係叫雞啦>.< 最鐘意叫常餐類>.< 叫左個手撕雞湯米~ 嘩.....點解可以咁hea.... 同我食烚冰鮮雞扒既味一樣!! 加粒蛋....加杯熱飲就$46 痴線..............................一路食一路  有人就叫常餐~ 鮮牛米~腸蛋~正常好多.... 但鮮牛米都係無乜味道可言~ $44 已經比 雞米好好好好好多了!! 總結: 千奇唔好叫雞米！！！ 其他都可以比次機會試~ 但唔好預我了^.^ 
smile	豐富兒童餐 這間係又一城都是穴既集團其下，之前去過沙田食飯佢哋啲日式定食都好好味份量都多，咁啱今日同小朋友嚟行街中午時候佢哋話肚餓咁就為有食飽飽先行街啦！  原本話食西餐意粉點知我同佢哋講哩到都有日本嘢食，因為之前食過都知道有兒童餐壽司蒸蛋烏冬樣樣都是佢至愛，所以即刻轉軚話嚟食。  坐低後自己即刻拎餐牌同店員叫唔該一份兒童餐啦！  Kids Set $88 蟹棒壽司 、 蛋壽司 、 腐皮壽司 、 蟹子壽司 、 加州卷 、 蒸蛋 、 熱烏冬 或 蕎麥麵 同 甜品。 壽司款式都好多件 今次揀蕎麥麵這位小朋友好食到連湯都飲埋！ 
ok	港女嘅後花園👩🏻 “媽媽不在家”之前行過想試但摸門釘，今次又再黎撞撞運氣，樓下係一個唔起眼（可以形容有d荒廢）嘅唐樓門口，上到去......咦.....唔係又無開呀嘛？㩒下鐘先，嘩！有人應門啦！入到去別有洞天，好似去左個後花園咁又幾靚喎。 因太多人（眼見全部都係女性），需要等一陣，睇下店主嘅手作，大概10分鐘左右有位，我地坐較邊高檯位置，頭上一堆綠葉， 哈哈，感覺好得意。 等左一陣終於有餐牌（因全店只有一個餐牌）係手畫嘅，我地兩個人叫左兩杯野飲同兩件蛋糕， 真心評論食物飲品個人認為一般，但如果想影相打咭,依到一定啱feel
cry	企業精神：以客人為先? 出門都過左11點半，而母親大人話得翠河咁晏都有早餐食，咪去囉。 由於某原因，我們都不吃肉，見到餐牌上有個D餐: 蕃茄薯仔濃湯螺絲粉。有炒蛋同多士，雖然有肉，但諗應該可以叫佢轉隻煎蛋既。 叫左侍廳苫單，同佢解釋由於我地唔食肉，想將配菜既肉類轉煎荷包。佢係咁話唔得，叫我地走餸。我就話唔係，係個餐有配肉類而我地唔食，想轉做煎蛋姐。跟住佢又話咁幫我地將個炒蛋轉煎蛋。果下我有D躁，再重申，炒蛋點都會配埋架啦，宜家我地係唔食肉，唔等於轉炒蛋，因為本身都有，我地係想將份肉類轉煎蛋。  佢終於明，話問下先。過左陣，第二位侍應就黎，又講多次話: 唔轉得架喎，一係你直接走餸 (唔要配既肉)，或者你想食煎蛋幫你將個炒蛋轉煎蛋。 果陣我真係好不解，直接表明其實將肉轉蛋又唔會令餐廳多左成本，亦不會對廚師造成任何不便，更加不是一個不合理的要求。而且都係為左客人姐，接受呢個要求絕不過份，又可以體諒一D食素既客人。我再同佢講一係你問問經理啦。佢話已經問左，係唔轉得。 如果不是因為母親大人想食佢地既蕃茄薯仔濃湯螺絲粉，我一定走。講真，咁大間鏈鎖式餐廳呀，唔係酌情遷就顧客少少既要求都唔可以呀? 仲要係一個微不足道同合理既要求。你可以話，我地唔食肉應該去D素食餐廳或有提供無肉餐單既餐廳。不過肚餓起上黎又邊度又咁多呢款餐廳附近呀。 我之後仲睇過佢地網頁， 集團簡介第一句雞乸咁大寫住「企業精神：以客人為先，以出品為本」。睇完真係得啖笑，以客人為先? SORRY，本人絕對體驗唔到。  最後走果陣我問佢地個貌似經理既女士拎意見表達書之類既野，佢又耍手擰頭話冇。 以後都係幫襯番香港舊式有人情味既茶餐廳好，只可惜都買少見少。 
smile	慕名而來 放工係大圍兜兜轉轉，睇下有咩好食，上網查到呢間隱世工廈有豬手食 而且好評如潮，一於泥試下。   距離大圍火車站不近，需要經過熱鬧既街道，行到寂靜少人既工廈，也不好找。    今晚有雨，而且我地收工收得夜，去到得2-3枱客人。地方都大，還有露天座位。所以我地好快就點左人氣必簡既豬手/松露薯條/脆脆蒜蓉帶子，還想點多樣意粉，店員好好人同我地講，食唔飽先再叫，怕我地食唔哂。點知真係好夠飽。    豬手無得頂，皮層好跪，配埋酸菜一流 價錢唔貴，抵食  好香口脆蒜帶子，真引人想叫多客食  薯條大大份，無得輸配埋松露醬，好岩一大班人share 食。 
ok	好食,但唔會再去 今日夜晚同朋友去左石硤尾打波,打完波,朋友建議去南山邨食宵夜,一直聽品香樓好出名,終於可以去試下,10點鐘去到都幾旺場,可能咁岩附近大學完左event,見佢地好多著住一樣既衫,我地叫左南乳豬手,沙拉骨,炸子雞,炸大腸同呢到最出名既凍朱, 呢到既凍朱,出名在於會有cream係上面,諗都無諗過屋村茶餐廳會有杯cafe既朱古力係到哈哈,其實大部份野食都好好食,炸子雞,炸大腸都係即叫即炸,但呢到既服務態度認真麻麻！十問九唔應之餘仲好似催你走咁,冷氣開到勁大,想同朋友坐多陣都唔得,好食係好食,但唔會有下次
cry	沒有靈魂的餐廳 又有日本過江龍餐廳嚟香港，作為鰻魚fans，一定要試下睇吓同日本嘅有冇分別。 去到門口都有條小人龍，大概十零二十人左右，但都排左50分鐘。店員帶位時，無氣力咁講左句「二一三孖四」；想食茶碗蒸同埋鰻魚玉子燒，但唔好彩地賣哂，唯有嗌左份鰻平燒食住先。 上枱時真係嚇突我地四人雙眼，你無睇錯，份鰻平燒係細過我地咁多個人隻手。撇除食物大小，味道都唔算太差，但除左中間有鰻魚肉之外，側邊係無餡料的😅，而且係薄薄一塊煎蛋餅... 溫玉鰻魚丼— 幾好食，鰻魚都算肥美有汁，但佢無改錯名，整碗飯係微溫的。一上枱已經唔熱，但明明望住店員從冒煙嘅電飯煲不啲飯出嚟😨真係匪疑所思🤨  鰻魚重 特上— 呢個比起對上個碗少左蔥花同埋蛋，但會多啲飯，鰻魚都會多兩塊。鰻魚厚肉，但燒到皮肉分離；另外，飯都係唔熱的，真係食到有啲頹，比$158食一碗唔熱嘅飯😅 最後想提及嘅係上餐速度。其實我地眼見餐廳有明顯分工，一位店員負責燒鰻魚，另一位店員負責不飯，理應上餐速度係好快的。但係我地四個人，分別嗌左四個飯，每一個飯都係相隔20分鐘先上枱，變相係一個食完，再望住第個食，如此類推。個人應為呢個程序係好唔應該喺一間餐廳出現的。 總括嚟講，雖然呢間餐廳提供嘅食物係唔錯，但無論食物溫度、上餐速度、店員態度等等都完全唔值呢個價錢，亦不能接受的。今次用餐體驗使我對於呢間「日本過江龍」餐廳非常失望，寧願留返啲錢去日本食好過。希望他日呢間餐廳會作出改善吧。
smile	想食扒所以來🥩 次次經過都好香 有幾次星期一收工過來都無開🤣 原來星期一休息架佢地 食肉獸今次終於据到扒啦🥩 叫左炭燒安格斯肉眼🤩 每個餐都會跟個沙律，餐湯同餐飲 跟餐沙律，都ok幾好味，個汁甜甜地都幾好食！🥗 餐湯超細杯🤣🤣🤣但都好嘅，唔會太飽！ 是日餐湯係周打蜆湯，雖然細細杯但係都好足料，但如果有海鮮敏感嘅，建議事前問一問是日餐湯係咩先🤗 同行友人嘅炭燒安格斯西冷扒 我嘅炭燒安格斯肉眼😁好厚身，但食落好多筋😣成塊都好多筋，不過肉質好好味，唔係鬆肉扒啲friend😂 同行友人嘅炭燒紐西蘭羊柳 店入面嘅位唔算多，如果事前預咗要來嘅朋友，可以事先打黎book左位先，同埋門口寫住人齊入坐，大家可以安排下😁 同埋食完個身會有陣油煙味，如果有下場嘅朋友要帶定嘢噴下😂
ok	Pancake初體驗 早2星期（20/12）星期五一收工就直奔九龍塘，為嘅並唔係去Apple Store買IPhone，而係去食Pancake。  今日叫咗2款Pancak：紅梅醬、粟子。由於小弟甚小食甜點，起初以為2款Pancake 口感會有好大分別，但事實上係差唔多口感（事後先知通常係一次過係同一個鑊幾舊幾舊咁整，同一片天空下，同一個鑊煎出嚟，口感當然一樣啦）  紅梅醬果款無咩驚訝既感覺，可能小弟對於紅梅無特別既喜好，但唔係唔鍾意食。反而個粟子味好有驚喜，講緊既真係粟子俾既驚起，d粟子食落口超正超甜，而家諗起都想食多次粒粟子。  總結嚟講，呢間Pancake俾到我既感覺係食落口好軟好鬆，好似食空氣咁，食完罪惡感會好低。無錯！因為太軟太鬆食落口好似無食完，減肥人士完全無罪惡感生成，😂呢款甜點認真邪惡。 
cry	伏咗😣 成10點先收工基本上見到咩餐廳都行入去食，好多時都會食到好食或者ok嘅餐廳，點知今晚係食到伏嘅 。 初時係門口都被佢嘅相片吸引…點知入到環境一般都無所謂，眼見餐牌揀咗一個香酥排骨 魯肉飯，我同事揀個招牌豐盛牛肉麵，唔知落咗碗紅燒牛肉麵 ，都算啦大家照食不竟都肚餓，先講自己個飯個排骨面個粉醬超咸，個蛋又大熟，同事話個麵湯底一般，牛肉又夠淋又唔夠香，個麵質都係一般 每人都叫咗杯凍檸茶，無茶味又澀 最恐怖係除咗我同事落錯order,我眼見仲有台客同我哋一樣 
smile	超讚的Mac&cheese 話說我真係好鍾意食Mac and cheese🤤🤤每次去親西餐廳都梗係會望吓個Menu有冇呢款菜式，有就一定會帶嗌，🧀 🧀 🧀 芝士通粉簡直係童年回憶，我諗每個人都應該鍾意食嘅，除非你係唔鍾意食芝士🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️根本唔可以抗拒到呢種味道🤤🤤🤤直至有次去到呢間餐廳，嗌左哩碟Mac and cheese，就不能自拔，佢係我食過最好食最好食嘅芝士通粉，因為佢用咗好多種嘅芝士鋪係啲通粉上邊再加上麵包糠拎去焗，雖然只係好簡單嘅步驟，但係我唔知點解佢就係做到咁出色，真心推薦黎呢間餐廳嗌Mac and cheese食🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤 
ok	粥店餐廳 小編呢一日同媽媽去鳳凰村買餸，媽咪話要買餸之前食下午茶，之後就嚟到呢一間好似餐廳嘅粥店，呢度有粥粉麵外，仲有茶餐廳嘅飲品，同埋甜品㖭~  媽咪好鍾食熱嘢，所以佢下午茶都叫咗碗粥食，所以媽咪身型咪…花師奶咁囉~ hehe…  媽咪二話不說就叫咗碗粥食，而我就叫咗碗糖水同埋炸兩，媽咪食得太快喇~ 手機都準備拎出嚟影，已經開波食咗一半… 偷食咗媽咪少少粥，粥嘅味道好綿。綠豆沙豆煲到已經起沙，同埋海帶嘅味道好出。炸兩粉皮唔太厚都幾滑但落晒豉油，油炸鬼就變咗冇咁塞喇，屋村都算好味嘅~ 
cry	初嚐歇腳亭既芋圓 最近好中意食芋圓之類既野食，見到呢個台式飲品店都有賣芋圓，於是我放棄買珍珠奶茶，轉戰呢個芋圓甜品吧！  歇腳亭都有芋圓甜品，但覺得完全係大伏😂，開始不用試～～～  打開杯蓋見到一大pat既仙草，質地好稀，而且好甜，入面仲有芋圓、地瓜圓、紅豆、珍珠、蕃薯，係豐富既，但芋圓同地瓜圓味道偏淡😅，又唔煙韌，加埋偏甜既紅豆，成杯野甜上加甜，飲珍珠奶茶仲好啦🙈🙈 我同朋友都食唔晒呢杯野，選擇放棄了～～ 
smile	美食沙漠中的綠洲 馬鞍山想揾好野食真係唔易，雖然不乏食肆，但要有質素兼價錢合理真係唔多，而牛涮鍋係暫時我覺得唔錯，差不多每個月都會食一次嘅食肆。 價錢視乎你食咩級數嘅牛，有1xx-4xx都有，豐儉由人，而我通常都揀中價位嘅。 呢間店嘅特色係有圍爐同一人一爐比你揀，湯底都有5-6款，有固定同期間限定湯底。 我地同小朋友一齊食，例牌會揀甜醬油湯，另外今次㨂新出嘅味噌雞白湯，都幾好味，唔會太咸太濃味，啱晒小朋友 每枱都有配菜碟，比你出去攞配菜，以日式為主，款式都算多 今次我地叫左美國和牛腩肉，一開始就牛，豬，雞各一碟，之後再想食就逐樣點 飲品方面，有冷熱飲，冷飲係汽水果汁，熱飲係咖啡茶朱古力，都幾多選擇 甜品今日係呢5種，無特定，有時會轉其他款，味道就普通 仲有沙律吧同軟雪糕我就無影啦，因為都幾受歡迎，長期有人係到攞 呢間食肆已經成為我飯堂，希望會長做等我有啖好食
ok	出動探索麥記新包 麥記又出新包＜脆脆黑椒漢堡＞，見佢有脆脆喺個包，真係幾得意，一於去幫襯吓先！ 仲要而家同wechat做緊 promotion, 可以平啲地食！yeah! 個包一如以往用紙包住，一開果吓真係有啲嚇親！賣相真的……都唔緊要喇！最緊要好食！  佢有四層肉對於一個正常女仔而言，係好難可以食得哂！而吸引到我嘅脆脆，因為個包嘅汁量唔少！已經浸到淋哂！真係真係好失望！不過喺口味方面，都可以攞返唔少分！黑椒真係調味神器！  至於薯條同飲品就無咩特別！無影相嚕！
cry	買雪糕😫記住問佢拎多杯水 今日去機場送個客搭飛機！ 送完個客之後，經過mcdonald's果陣，見到佢出左杯新雪糕-焦糖芭菲 Oreo雪糕 因爲今日實在太熱屎辣辣啦 ！ 諗住食返杯雪糕消暑 見佢賣相唔錯！最頂層有幾粒原粒OREO曲奇，再加一條朱古力條 雪糕中間同最底位置有一層焦糖芭菲！ 食面果層都幾好味！ 因為oreo撈埋雪糕幾好食 但係食到中間果陣，將雪糕同焦糖撈埋黎食.... 嘩！！！一食落口勁甜 甜到要飲成杯水 佢既焦糖甜到好似食左成粒砂糖甘 重點係已經撈埋左雪糕都甘甜....就甘食既話難以想像 
smile	隱世小店，誠意之作 要不是有天無聊經過，也不會發現這間低調的小店，見佢成日爆，有幾次好奇心下，想walk-in 試，都無功而返，因為一定要訂位先可以食到  真係咁巴閉？唔順氣決定早啲訂位，好野，成功！  小店只可以放五張枱，坐滿大概唔過20人，每枱有個蒸鍋，當到你預約時間，店員會先開鍋，免得等太耐 餐單有兩款選擇，係已經set好晒既，貴啲嗰個一2人餐6百幾唔洗加1,就已經有龍蝦，成候魚，鮑魚，好多貝，爆膏蟹同蝦，仲有半隻雞，加埋個粥底，真係爆肚 海鮮因該係店主即日採購，所以勁新鮮，唔點野都好鮮，雞係新鮮雞，勁好食！ 店主仲會將當日有多既海鮮送俾食客，超有誠意 仲建議大家食唔晒打包，粥我攞走第二日lunch仲勁鮮甜  見佢無雜誌訪問都日日爆滿，就知係正野 
ok	不大驚喜 之前經過地鐵站見到有個牌。食好馬來菜喺香港好似味嘅唔係太多機會，就同個朋友去試下. 上到去，哥哥還還準備中，門口都未開。 【食物】我同朋友分別叫咗「正宗巴生肉骨茶」同「巴東牛肉蔥油飯」 肉骨茶係跟蔥油飯一齊上，個飯係幾香，但係我認為個肉骨茶就不太入味。（可能係俾我以前個沙巴同事種壞，因為TA的肉骨茶真係真材實料超正）。  巴東牛肉 我冇試，但朋友話ok。  【開放時間】唔知老闆係唔係好唔憂做，平日只係做午市，weekend先會做埋晚市。所以唔好盲舂舂仆咗去。  【環境】地方都幾舒服，外觀處處的mismatch中又帶點自家的可愛。但係晏晝去都幾多人，我估而佢嘅opening hours，唔係一個可以坐得好耐嘅地方，因為只做lunch客。 【價錢】如果以當日嘅quality同價錢，加埋地方係喺柴灣區工廠大廈，我覺得有啲貴。  可能係剛剛開張，需要啲時間調教。大機會會再去試下。 
cry	垃圾鐵板餐 今日去到荔枝角食個晚飯 諗住食個頹晚飯 求其搵間茶記食下算啦 咁去到宇晴匯 都有幾間食店既 咁見到呢間有個鐵板餐就入去試下佢啦 66蚊一個鐵板餐 其實都唔算叫咩優惠鐵板餐 想知唔優惠賣緊幾多錢 係咪69蚊呢  有個餐包餐湯 個湯好酸下 好難入口 同埋放咗好耐咁 之後黎咗個鐵板餐 仲難食過大家樂呀大佬 靭到乜咁 叫咗兩個一個五成一個七成 但佢兩塊調轉咗個 因為一個跟飯一個跟薯菜 但扒整唔到幾多成就不如唔好比客揀幾成 完全唔掂 66蚊一個優惠鐵板餐 簡直不知所謂 唯一都仲有優點 冇人等位
smile	古式風格帶點驚喜的中菜餐廳 今日放左工就收到媽咪既msg話想食中菜，記得之前朋友介紹過呢間啲小菜幾特別，所以就決定食呢間！位置雖然難搵，但好在近叮叮站，落左車向後行就係啦！ 一去到門口感覺好特別，好有古代中式建築咁，頭頂有個大牌坊「壹玖捌叄」就係舖名，左右兩邊仲有對對聯，好有古式風格。 然後上一層樓梯就去到食野既地方，環境唔錯，坐得好舒服，牆既四邊仲有啲歷史既相片。嗰日唔係好多人，可以靜靜地咁傾下計。 一坐低，侍應就幫你開同摺餐巾，仲有遞上小食，真係好貼心！佢每檯都有部ipad for落單，但見有個狗年新春套餐優惠，兩個人都係$988，所以就試下～ 我地揀左套餐c， 前菜就係薑汁陳醋雲耳同埋麻辣墨魚頭，好香麻辣味，每舊雲耳同墨魚頭都好入味😋～ 跟住就係螺頭燉湯，即製熱辣辣，湯味清甜，仲有大大舊螺頭，好足料！ 之後就係黑松露野菌蝦球，一上菜以為好普通，點知一咬完全估佢唔到，隻蝦又脆口又juicy，仲有啲菇伴碟，個汁夠濃但又唔會搶左隻蝦既鮮味，食完一隻，我同媽咪都忍唔住想食多件😆！ 下一道菜就係一口鮑魚豆腐伴金蠔大利，呢道餸好特別，乜都有啲～有鮑魚、豆腐、蠔，仲有豬脷！平時都唔敢食豬脷呢啲特別位置，今次一於大膽試下🙊，點知口感岩岩好，唔會太滑又唔太韌。 之後就係成晚最期待既兩道菜，其中一道就係京果陳醋咕嚕肉，同一般街外食既咕嚕肉唔同既就係個汁！出面食開可能好酸同埋炒到舊肉好乾身，但呢個就相反，甜甜地既汁加埋淡淡肉真係perfect match！ 而另一道就係櫻花蝦臘味糯米飯，放係個瓦煲入面蒸，好香臘腸味蝦味，最重要係啲飯好軟熟，好飽都想食多碗🤤！ 最後最後就係甜品！桃膠銀耳雪棗糖水同紫薯金沙球，成碗都係桃膠，充滿骨膠原好滋潤！ 而個金沙球設計幾特別，外皮係紫薯，內餡係奶黃，仲要流心。不過要慢慢食，因為奶黃好易會漏～ 整體都十分滿意，侍應服務態度好又細心，每一道菜都係即時製，新鮮滾熱辣，一家人聚餐就岩晒！ 
ok	東涌輕食之選 一向鐘意食pret，特別係佢地嘅salad同wrap，有時飽飽地食pret個份量就啱唒喇 東涌最近開左pret，當然要即刻食翻餐啦！ 位置近地鐵站所以人流都唔錯 晚上七點好多wrap已經賣唒，今次揀左avocado & roasted pine nut wrap，裏面有牛油果蕃茄松子菠菜羅勒，可能因為有牛油果同幾足料，食完都夠飽！ 另外仲飲左杯organic coconut flat white，咖啡香味夠，又用左coconut milk取替牛奶，啱唒vegan!
